Date,Shell,AstraZeneca,HSBC Holdings,Unilever Group,BP,Diageo,Rio Tinto Group,Glencore,British American Tobacco,GlaxoSmithKline,FTSE 100
2013-10-03,6449.0,3199.0,3190.0,437.1499938964844,1946.0,330.0,1582.5589599609375,669.5,3000.0,2025.5,2367.0
2013-10-04,6453.89990234375,3182.0,3198.0,438.25,1948.5,331.0,1567.4486083984375,677.2999877929688,3010.0,2033.0,2366.0
2013-10-07,6437.2998046875,3170.5,3200.0,438.6000061035156,1954.5,331.45001220703125,1577.522216796875,672.4000244140625,3000.0,2018.0,2372.0
2013-10-08,6365.7998046875,3143.0,3212.0,433.70001220703125,1921.5,327.29998779296875,1560.9007568359375,664.5,2976.5,1998.0,2349.0
2013-10-09,6337.89990234375,3113.0,3205.0,433.45001220703125,1899.5,322.54998779296875,1561.4044189453125,668.7999877929688,2957.5,1987.0,2351.0
2013-10-10,6430.5,3133.0,3235.0,437.29998779296875,1921.0,326.6499938964844,1556.871337890625,678.2999877929688,3015.0,2008.0,2353.0
2013-10-11,6487.2001953125,3176.5,3233.0,439.6499938964844,1973.0,335.8999938964844,1565.9376220703125,689.5999755859375,3079.5,2017.5,2376.0
2013-10-14,6507.7001953125,3186.5,3232.0,443.3999938964844,1953.5,331.20001220703125,1580.0406494140625,689.7999877929688,3084.0,2022.0,2383.0
2013-10-15,6549.10009765625,3183.0,3221.0,444.6499938964844,1935.0,336.0,1586.58837890625,687.4000244140625,3215.0,2043.5,2403.0
2013-10-16,6571.60009765625,3159.5,3250.0,445.75,1938.0,331.20001220703125,1586.58837890625,685.7999877929688,3215.0,2060.0,2399.0
2013-10-17,6576.2001953125,3150.0,3314.0,443.8999938964844,1954.0,330.5,1585.5810546875,678.0,3191.5,2039.5,2444.0
2013-10-18,6622.60009765625,3149.5,3322.0,447.45001220703125,1989.5,334.8999938964844,1590.1141357421875,679.0,3220.0,2067.5,2466.0
2013-10-21,6654.2001953125,3175.0,3336.0,449.54998779296875,2009.0,337.95001220703125,1597.1656494140625,685.7000122070312,3242.0,2080.5,2466.0
2013-10-22,6695.7001953125,3187.5,3385.0,448.0,2024.5,341.54998779296875,1612.7796630859375,687.7000122070312,3261.5,2102.0,2484.0
2013-10-23,6674.5,3210.0,3386.0,449.25,2029.0,340.20001220703125,1582.0552978515625,678.2999877929688,3220.0,2099.5,2496.0
2013-10-24,6713.2001953125,3225.0,3390.0,450.1499938964844,2012.5,340.20001220703125,1608.750244140625,682.2000122070312,3235.0,2116.5,2509.0
2013-10-25,6721.2998046875,3248.5,3415.0,451.1499938964844,2017.5,342.5,1616.305419921875,680.0,3222.5,2129.5,2493.0
2013-10-28,6725.7998046875,3301.0,3443.5,452.1000061035156,2029.5,340.95001220703125,1636.45263671875,682.9000244140625,3192.5,2137.0,2520.0
2013-10-29,6774.7001953125,3312.5,3450.0,477.5,2027.0,342.25,1649.54833984375,686.7000122070312,3193.5,2168.5,2548.0
2013-10-30,6777.7001953125,3330.0,3438.5,482.0,2016.5,345.04998779296875,1655.5924072265625,683.5,3200.5,2184.0,2523.0
2013-10-31,6731.39990234375,3309.0,3436.0,482.70001220703125,1987.0,340.0,1655.5924072265625,682.0999755859375,3158.0,2076.5,2525.0
2013-11-01,6734.7001953125,3292.0,3435.5,484.75,1979.5,332.25,1661.636474609375,687.2999877929688,3184.0,2097.5,2507.0
2013-11-04,6763.60009765625,3288.0,3434.5,489.20001220703125,1990.5,335.3999938964844,1669.191650390625,703.0,3289.5,2100.0,2530.0
2013-11-05,6746.7998046875,3291.5,3434.0,488.04998779296875,1993.0,341.79998779296875,1677.2506103515625,698.0,3330.5,2087.0,2535.0
2013-11-06,6741.7001953125,3299.0,3434.5,484.45001220703125,1998.5,341.8999938964844,1661.636474609375,693.5,3325.0,2089.5,2479.0
2013-11-07,6697.2001953125,3272.5,3428.0,480.45001220703125,1999.0,333.0,1653.5777587890625,689.7999877929688,3294.0,2068.0,2468.0
2013-11-08,6708.39990234375,3278.0,3426.0,477.6499938964844,1998.0,331.29998779296875,1660.12548828125,695.4000244140625,3319.0,2055.0,2464.0
2013-11-11,6728.39990234375,3292.0,3446.5,481.1499938964844,2022.0,330.75,1662.6439208984375,697.0,3274.0,2075.0,2478.0
2013-11-12,6726.7998046875,3284.5,3423.0,483.8999938964844,2014.5,331.5,1649.54833984375,696.2000122070312,3267.0,2085.5,2487.0
2013-11-13,6630.0,3267.0,3380.0,481.25,1992.5,324.8999938964844,1620.3349609375,683.2000122070312,3194.5,2028.5,2459.0
2013-11-14,6666.10009765625,3286.5,3379.5,483.29998779296875,2000.0,324.20001220703125,1627.89013671875,682.9000244140625,3229.0,2052.0,2464.0
2013-11-15,6693.39990234375,3306.0,3387.0,488.1000061035156,2012.0,324.04998779296875,1626.8826904296875,687.0,3253.5,2095.0,2465.0
2013-11-18,6723.5,3317.0,3379.0,488.54998779296875,2030.0,326.8999938964844,1625.3717041015625,695.0,3264.5,2102.0,2491.0
2013-11-19,6698.0,3308.0,3369.5,486.75,2028.5,321.0,1639.9783935546875,693.2000122070312,3259.0,2093.5,2495.0
2013-11-20,6681.10009765625,3308.5,3360.0,487.95001220703125,2005.0,318.79998779296875,1643.504150390625,695.2999877929688,3300.0,2098.0,2495.0
2013-11-21,6681.2998046875,3400.5,3281.0,489.3500061035156,1986.0,315.25,1651.56298828125,693.7999877929688,3246.5,2100.0,2473.0
2013-11-22,6674.2998046875,3446.5,3271.0,493.45001220703125,1976.0,311.79998779296875,1653.5777587890625,686.2999877929688,3194.0,2105.0,2463.0
2013-11-25,6694.60009765625,3437.5,3300.0,490.1000061035156,2000.0,312.04998779296875,1653.5777587890625,689.0,3164.0,2097.0,2507.0
2013-11-26,6636.2001953125,3426.0,3268.0,487.0,1968.0,304.79998779296875,1625.875244140625,686.2999877929688,3110.0,2065.0,2464.0
2013-11-27,6649.5,3420.5,3273.0,482.04998779296875,1966.5,307.1499938964844,1626.8826904296875,684.2000122070312,3139.0,2055.0,2460.0
2013-11-28,6654.5,3452.0,3250.5,481.5,1947.0,312.25,1623.35693359375,682.0,3261.0,2048.5,2475.0
2013-11-29,6650.60009765625,3513.5,3261.0,482.0,1946.0,309.8500061035156,1630.408447265625,681.9000244140625,3261.5,2048.0,2469.0
2013-12-02,6595.2998046875,3510.0,3223.5,475.29998779296875,1926.0,306.0,1631.415771484375,677.2999877929688,3231.0,2035.5,2431.0
2013-12-03,6532.39990234375,3506.5,3185.0,473.6000061035156,1908.5,304.29998779296875,1610.2613525390625,668.4000244140625,3200.0,2016.0,2418.0
2013-12-04,6510.0,3478.0,3209.5,476.5,1915.5,305.1000061035156,1604.2171630859375,659.7999877929688,3262.5,2015.5,2418.0
2013-12-05,6498.2998046875,3470.0,3196.5,475.1499938964844,1908.0,305.6000061035156,1608.750244140625,656.4000244140625,3268.5,2013.5,2432.0
2013-12-06,6552.0,3489.0,3195.0,477.45001220703125,1922.5,306.54998779296875,1616.80908203125,659.2999877929688,3305.0,2065.5,2465.0
2013-12-09,6559.5,3474.5,3181.5,476.79998779296875,1925.0,307.8999938964844,1611.2686767578125,657.7000122070312,3290.5,2072.5,2475.0
2013-12-10,6523.2998046875,3450.0,3160.0,473.1499938964844,1920.0,306.20001220703125,1591.1214599609375,652.0999755859375,3256.0,2078.0,2454.0
